"Department Number","Department Name","Manager's Employee Number"
d001,Marketing,110022
d001,Marketing,110039
d002,Finance,110085
d002,Finance,110114
d003,"Human Resources",110183
d003,"Human Resources",110228
d004,Production,110303
d004,Production,110344
d004,Production,110386
d004,Production,110420
d005,Development,110511
d005,Development,110567
d006,"Quality Management",110725
d006,"Quality Management",110765
d006,"Quality Management",110800
d006,"Quality Management",110854
d007,Sales,111035
d007,Sales,111133
d008,Research,111400
d008,Research,111534
d009,"Customer Service",111692
d009,"Customer Service",111784
d009,"Customer Service",111877
d009,"Customer Service",111939
