"Last Name",Frequency
Baba,226
Coorg,223
Gelosh,223
Sudbeck,222
Farris,222
Adachi,221
Osgood,220
Mandell,218
Masada,218
Neiman,218
Boudaillier,217
Wendorf,217
Mahnke,216
Solares,216
Cummings,216
Pettis,216
Birjandi,215
Maksimenko,215
Kulisch,215
Emmart,215
Collette,215
Pokrovskii,214
Scallan,214
Rosaz,214
Boguraev,214
Stifter,213
Morrey,213
Wolniewicz,213
Siksek,213
Rajcani,212
Peek,212
Rabehasaina,212
Pramanik,212
Garrabrants,212
Herber,212
Swen,212
Siepmann,212
Taubman,212
Kitsuregawa,211
Asser,211
Ghemri,211
Ventosa,211
Gente,211
Cangellaris,211
Kamber,211
Barriga,211
Luce,210
Redmiles,210
Bolsens,210
Schaaf,210
Driscoll,210
Gerlach,209
Malabarba,209
Chenney,209
Gewali,209
Khasidashvili,209
Zuberek,209
Serra,209
Lunt,209
Lamparter,209
Flowers,209
Panienski,208
Gecsei,208
Lowrie,208
Jenevein,208
Aloia,208
Cesareni,208
Garnier,207
Angelopoulos,207
Akazan,207
Lamba,207
Perng,206
Bondorf,206
Foote,206
Duclos,206
Hebert,206
Chimia,206
Gaughan,206
Braunmuhl,206
Emden,205
Aamodt,205
Siprelle,205
Marakhovsky,205
Encarnacion,205
Bennet,205
Ponthieu,205
DeMori,205
Garnham,205
Panangaden,205
Lanphier,205
Matzov,205
Onuegbe,205
Geffroy,205
Ecklund,205
Shimshoni,205
Shiratori,204
Swick,204
Linares,204
Luders,204
Coors,204
Whitcomb,204
Desikan,204
Alpin,204
Malinowski,204
Shrader,204
Argence,204
Riexinger,204
Legleitner,204
Feinberg,203
Doering,203
Herbst,203
Champarnaud,203
Ghandeharizadeh,203
Tramer,203
Tetzlaff,203
Ishibashi,203
Conta,203
Kirkerud,203
Penttonen,203
Ramsay,203
Lorho,203
Kornyak,202
Thummel,202
Yurek,202
Gihr,202
Pews,202
Schlegelmilch,202
Schapire,202
Kilgour,202
Lubachevsky,202
Soicher,202
Karnin,202
Biran,202
Pelc,201
Clouatre,201
Genther,201
Wynblatt,201
Brodie,201
Perez,201
